,0
Apache Kafka,434
rest api,227
API,153
grpc,152
spring boot,133
BPMN,125
SOAP,121
clickhouse,114
XML,95
devops,93
UML,89
kafka,85
RabbitMQ,81
gitlab,80
REST,77
QA,66
grafana,64
ci/cd,63
HTTP,61
Hibernate,61
postman,57
golang,53
it,52
SOA,52
kubernetes,48
openshift,43
JSON API,43
Flask,42
go,41
kotlin,41
laravel,40
typescript,38
Agile,37
elasticsearch,31
ELK,30
MS SQL,29
Zabbix,28
Microservices,26
Redis,25
Agile Project Management,23
ORACLE,22
Jenkins,21
NoSQL,20
JUnit,18
backend,17
solid,14
PostgreSQL,13
spring,12
.net core,11
react,10
Entity Framework,9
docker,7
Atlassian Confluence,6
C++,2
ansible,1
Django Framework,0
Python,-2
Bash,-2
Apache Maven,-2
ASP.NET,-2
Nginx,-4
Java,-4
SQL,-6
Atlassian Jira,-12
.NET Framework,-13
Prometheus,-13
PHP,-15
graphql,-15
Symfony,-16
MongoDB,-16
C#,-17
Spring Framework,-21
Scrum,-22
Linux,-25
CSS,-25
HTML,-26
Node.js,-31
MySQL,-31
Hibernate ORM,-34
JavaScript,-38
Git,-41
