,change
ETL,66
dwh,162
PostgreSQL,33
airflow,213
clickhouse,156
Big Data,29
SQL,3
Python,0
ml,83
pandas,45
Power BI,117
machine learning,14
greenplum,43
Data Analysis,-6
docker,29
pytorch,45
numpy,85
kubernetes,207
A/B тесты,132
pyspark,296
hadoop,-17
ORACLE,23
MS Excel,33
data science,-5
kafka,-7
Spark,-33
MS SQL,-13
nlp,16
MySQL,-4
Tableau,-17
Git,-40
Linux,-50
BI,18
NoSQL,-13
Java,-59
API,28
tensorflow,-8
teradata,1
scala,-63
hive,-49
MS Access,-24
Data Mining,-79
MS PowerPoint,-57
Atlassian Jira,-27
AWS,-48
MS SQL Server,-39
Databases,23
R,-28
deep learning,-24
C++,-51
PowerBI,-7
it,-46
computer vision,9
Oracle Pl/SQL,-56
scikit-learn,5
ci/cd,-17
SAP,-7
Agile Project Management,-41
Atlassian Confluence,19
MongoDB,-36
Data Engineering,-15
sklearn,-22
Project management,-34
VBA,-35
keras,-14
grafana,-23
Teamleading,20
data scientist,-7
Apache Hive,-8
vertica,-21
rest api,-6
CRM,-8
