,change
SQL,13
Java,8
gitlab,770
JavaScript,57
PowerShell,427
Python,71
API,453
ASP.NET,469
Git,258
PostgreSQL,373
.NET Framework,383
C#,289
AWS,222
Linux,70
Bash,277
kubernetes,476
azure,436
Design Patterns,557
docker,562
Администрирование серверов Linux,391
Jenkins,413
JDBC,264
