,0
rest api,248
solid,228
API,207
kafka,195
RabbitMQ,192
js,179
clickhouse,166
vuejs,142
golang,141
backend,137
kubernetes,132
elasticsearch,131
docker,127
Sphinx,121
Bitrix,108
vue.js,105
typescript,104
ci/cd,99
Битрикс24,91
MariaDB,74
go,64
Codeigniter,57
github,56
laravel,51
gitlab,48
yii2,43
AWS,40
react,35
REST,34
Redis,21
JSON API,10
NoSQL,10
jira,9
PostgreSQL,7
Unix,7
Symfony,5
Битрикс 24,3
HTTP,2
PHP,0
CMS Wordpress,-1
Composer,-3
vue,-3
SOAP,-7
MongoDB,-8
PHPUnit,-9
Nginx,-10
SQL,-11
Scrum,-13
Memcached,-15
Linux,-16
Jetbrains Phpstorm,-21
Teamleading,-24
1С-Битрикс,-25
MS SQL,-25
MySQL,-27
Python,-29
Java,-29
CSS3,-29
HTML/CSS,-30
Java Script,-31
Node.js,-31
Git,-31
HTML5,-34
HTML,-36
Bootstrap,-39
Zend Framework,-39
Unit Testing,-40
PHP7,-41
JavaScript,-43
XML,-44
CSS,-46
Yii,-46
jQuery,-46
Atlassian Jira,-50
MVC,-56
Ajax,-58
PHP5,-75
