,0
API,738
docker,330
REST,293
rest api,279
JSON,204
Agile,179
SOAP,175
clickhouse,140
kafka,123
Atlassian Confluence,109
Git,99
BPMN,92
MS Excel,91
Linux,90
Java,85
Spring Framework,84
Test case,82
Atlassian Jira,80
jira,68
PHP,66
JSON API,62
Django,61
react,55
PostgreSQL,55
Jenkins,54
Redis,53
pandas,52
it,47
JavaScript,43
HTML,41
UML,41
Scrum,39
Django Framework,38
Python,36
MySQL,34
CSS,29
BI,18
MongoDB,9
Power Query,4
SQL,0
Bash,0
laravel,-7
Power BI,-7
XML,-8
NoSQL,-17
Agile Project Management,-18
Hibernate ORM,-18
Node.js,-20
ASP.NET,-28
Data Analysis,-29
Big Data,-30
1С программирование,-33
Entity Framework,-34
C++,-36
1С: Предприятие 8,-37
C#,-38
Active Directory,-39
.NET Framework,-44
MS PowerPoint,-45
jQuery,-46
Tableau,-47
TCP/IP,-51
Nginx,-53
Администрирование серверов Windows,-54
Ajax,-57
dwh,-59
CSS3,-61
Cистемы управления базами данных,-61
MS SQL,-63
Администрирование серверов Linux,-65
HTML5,-69
ETL,-71
ORACLE,-71
MS SQL Server,-78
Oracle Pl/SQL,-90
