,change
typescript,135
rest api,423
frontend,173
Angular,95
js,117
docker,341
vuejs,440
Figma,150
scss,139
react,37
REST,74
Next.js,194
API,228
webpack,42
PostgreSQL,124
Java Script,89
HTML,13
vue.js,15
JavaScript,0
redux,13
SQL,65
graphql,107
vue,11
Git,-11
ReactJS,26
react.js,15
mobx,69
CSS,-21
Node.js,-16
React Native,70
rxjs,73
ci/cd,114
ES6,28
CSS3,-28
Sass,-18
Nuxt.js,56
HTML5,-35
Jest,89
PHP,-3
Nuxt,54
Scrum,25
HTML/CSS,0
MySQL,2
AngularJS,-49
HTTP,55
jQuery,-54
laravel,67
Bootstrap,-43
Linux,-27
Less,-56
React/Redux,-5
github,53
UI,62
Atlassian Jira,-12
Ajax,-22
JSON API,38
SPA,-30
Vuex,-26
Python,15
WebSocket,52
Gulp,-21
UX,48
Java,-25
SASS/SCSS,-10
Agile,60
Unit Testing,16
MongoDB,-37
websockets,47
JSON,16
C#,4
1С-Битрикс,-6
Android,36
ES6+,7
Axios,6
