,0
gitlab,770
docker,562
Design Patterns,557
kubernetes,476
ASP.NET,469
API,453
azure,436
PowerShell,427
Jenkins,413
Администрирование серверов Linux,391
.NET Framework,383
PostgreSQL,373
C#,289
Bash,277
JDBC,264
Git,258
AWS,222
Python,71
Linux,70
JavaScript,57
SQL,13
Java,8
