,0
Apache Kafka,396
airflow,353
Apache Spark,344
clickhouse,220
kubernetes,215
dwh,167
Power BI,159
ml,141
machine learning,139
Apache Hive,135
ETL,130
greenplum,88
ci/cd,86
docker,81
pandas,78
MongoDB,72
UML,59
Tableau,55
teradata,49
react,47
HDFS,46
Snowflake,44
Cassandra,41
PostgreSQL,41
devops,39
rest api,39
Redis,39
nlp,35
data science,31
MS Excel,30
kafka,28
pytorch,26
BPMN,26
Node.js,12
azure,12
Spark,11
Data Analysis,9
tensorflow,6
hadoop,6
Prometheus,5
Python,3
Jenkins,1
golang,0
MySQL,0
openshift,0
Big Data,-4
English,-4
it,-4
NoSQL,-5
SQL,-6
ansible,-6
elasticsearch,-7
Agile Project Management,-8
BI,-9
JavaScript,-11
RabbitMQ,-12
REST,-13
MS SQL,-17
hive,-19
Data Engineering,-24
terraform,-26
Agile,-32
ORACLE,-37
Oracle Pl/SQL,-40
AWS,-40
go,-43
Bash,-49
Linux,-52
scala,-57
MS SQL Server,-59
Java,-60
Git,-61
Spring Framework,-73
Data Mining,-76
Flink,-89
