,change
typescript,163
docker,257
PostgreSQL,126
API,428
rest api,272
js,176
vuejs,596
frontend,286
RabbitMQ,299
Redis,165
PHP,81
SQL,69
vue.js,48
nest.js,251
Node.js,37
laravel,191
REST,82
backend,190
react,25
kubernetes,300
graphql,157
ci/cd,208
webpack,69
JavaScript,0
HTML,7
ReactJS,91
github,201
Git,-1
MySQL,9
react.js,40
MongoDB,8
Linux,23
Java Script,46
Nuxt.js,97
vue,19
Python,32
CSS,-22
Next.js,174
redux,0
CSS3,-20
NoSQL,83
ES6,77
HTML5,-32
Nginx,82
C#,23
scss,89
Angular,0
jQuery,-42
HTML/CSS,48
JSON API,92
websockets,79
Java,-13
Sass,-23
JSON,128
mobx,76
HTTP,43
AngularJS,-73
Figma,105
Scrum,-9
AWS,-2
Bootstrap,-31
nodejs,32
Atlassian Jira,-51
Express.js,44
React Native,82
Express,42
WebSocket,62
MVC,43
Ajax,9
kafka,77
SPA,6
Symfony,-16
golang,56
Yii,-40
Unit Testing,32
yii2,-74
it,1
MS SQL,-17
Jest,0
Nuxt,-22
.net core,41
C++,41
Design Patterns,62
ASP.NET,-16
