tag,norm_val
Python,1.0
SQL,0.6962962962962963
Data Mining,0.4222222222222222
Математическая статистика,0.24444444444444444
C++,0.14814814814814814
Английский язык,0.13703703703703704
MS SQL,0.13333333333333333
Git,0.12962962962962962
Анализ данных,0.12222222222222222
Английский — B1 — Средний,0.11481481481481481
Data Analysis,0.11481481481481481
Linux,0.1111111111111111
Machine Learning,0.1
Big Data,0.0962962962962963
Математическое моделирование,0.09259259259259259
Статистический анализ,0.07777777777777778
Математический анализ,0.07777777777777778
NLP,0.07407407407407407
Аналитические исследования,0.07037037037037037
pandas,0.06666666666666667
Работа с базами данных,0.06666666666666667
Hadoop,0.06666666666666667
MATLAB,0.06666666666666667
Базы данных,0.06296296296296296
Spark,0.06296296296296296
Pandas,0.06296296296296296
Data Science,0.05925925925925926
ML,0.05925925925925926
MS PowerPoint,0.05925925925925926
Прогнозирование,0.05925925925925926
Английский — B2 — Средне-продвинутый,0.05185185185185185
data science,0.05185185185185185
tensorflow,0.04814814814814815
numpy,0.04814814814814815
TensorFlow,0.044444444444444446
MS Excel,0.044444444444444446
Английский — C1 — Продвинутый,0.044444444444444446
PyTorch,0.044444444444444446
Sas,0.044444444444444446
