,noExperience,between1And3,between3And6,moreThan6,mean
программист,150000,300000,500000,750000,400000.0
директор,200000,280000,400000,500000,340000.0
финансист,,260000,350000,500000,305000.0
инженер,200000,250000,350000,400000,300000.0
машинист,200000,300000,300000,300000,300000.0
нефть,170000,165000,400000,400000,282500.0
менеджер,200000,253000,300000,400000,276500.0
врач,250000,250000,300000,500000,275000.0
юрист,200000,250000,300000,375000,275000.0
бухгалтер,160000,250000,300000,400000,275000.0
сварщик,200000,237000,300000,250000,268500.0
повар,122000,220000,300000,500000,260000.0
комплектовщик,355000,200000,315000,340000,257500.0
чпу,200000,250000,255000,250000,252500.0
водитель,270000,250000,250000,250000,250000.0
токарь,200000,250000,250000,300000,250000.0
курьер,300000,250000,230000,90000,240000.0
разнорабочий,180000,190000,275000,120000,232500.0
тракторист,415000,265000,200000,150000,232500.0
электрик,190000,200000,250000,250000,225000.0
слесарь,220000,200000,250000,257500,225000.0
сантехник,230000,200000,198000,170000,199000.0
продавец,150000,180000,200000,150000,190000.0
медсестра,155000,180000,200000,200000,190000.0
психолог,155000,180000,200000,,190000.0
учитель,150000,150000,180000,200000,165000.0
санитарка,130000,150000,180000,,165000.0
уборщица,130000,150000,165000,180000,157500.0
дворник,130000,150000,165000,180000,157500.0
охранник,125000,120000,160000,120000,140000.0
матрос,,,,,
