,noExperience,between1And3,between3And6,moreThan6,mean
Rust,,350000,290000,,320000
Data scientist,80000,159600,350000,250000,254800
Data engineer,100000,200000,304000,400000,252000
Golang,450000,160000,260000,420000,210000
Ruby,45000,160000,250000,350000,205000
Scala,,150000,250000,300000,200000
DevOps,62500,150000,250000,300000,200000
Android,75000,120000,250000,475000,185000
DBA,40000,67200,300000,350000,183600
Java,70000,120000,235000,303650,177500
1С программист,60000,140000,200000,250000,170000
iOS,180000,110000,200000,293750,155000
Javascript,90000,100000,200000,270000,150000
c%2B%2B,100000,100000,200000,250000,150000
Python,45000,100000,200000,275000,150000
php,40000,100000,195000,170000,147500
C%23,60000,100031,190000,350000,145015.5
Frontend,45000,100000,150000,250000,125000
QA,60000,90000,150000,350000,120000
ABAP,,,300000,,
