,noExperience,between1And3,between3And6,moreThan6,mean
Rust,,250000,275000,,262500.0
Data scientist,277500,150000,320000,459000,235000.0
Scala,,220000,250000,,235000.0
Golang,500000,200000,250000,300000,225000.0
Data engineer,100000,185000,250000,250000,217500.0
DevOps,80000,150000,250000,350000,200000.0
iOS,70000,140000,250000,300000,195000.0
c%2B%2B,70000,150000,200000,235000,175000.0
Java,70000,120000,230000,350000,175000.0
1С программист,60000,140000,200000,210000,170000.0
Python,50000,120000,200000,280000,160000.0
C%23,75000,120000,200000,350000,160000.0
php,50000,120000,200000,250000,160000.0
Javascript,60000,120000,200000,300000,160000.0
DBA,,60000,250000,350000,155000.0
Android,57000,100000,200000,290000,150000.0
Frontend,47500,100000,175000,250000,137500.0
QA,60000,100000,175000,380000,137500.0
Ruby,,80000,160000,1800,120000.0
ABAP,,,,,
