,noExperience,between1And3,between3And6,moreThan6,mean
DBA,40000,300000,260000,335000,280000.0
Golang,40000,150000,300000,300000,225000.0
Rust,,250000,200000,,225000.0
Scala,,75000,370000,,222500.0
Data scientist,70000,150000,278400,230000,214200.0
Data engineer,70000,170000,240000,,205000.0
DevOps,70000,150000,250000,300000,200000.0
Ruby,18000,100000,275000,270000,187500.0
Android,50000,120000,250000,270000,185000.0
Java,70000,120000,220000,300000,170000.0
Python,40000,120000,200000,285000,160000.0
iOS,50500,100000,210000,385000,155000.0
Javascript,70000,100000,200000,250000,150000.0
1С программист,40230,120000,180000,200000,150000.0
c%2B%2B,73000,100000,200000,240000,150000.0
C%23,50000,100000,180000,300000,140000.0
Frontend,50000,90000,180000,235000,135000.0
QA,40000,91000,170000,150000,130500.0
php,40000,100000,150000,240000,125000.0
ABAP,,150000,,,
