,noExperience,between1And3,between3And6,moreThan6,mean
Scala,180000,240000,225000,,232500.0
Rust,160000,225000,225000,400000,225000.0
DevOps,70000,160000,250000,300000,205000.0
iOS,95000,150000,253000,200000,201500.0
Data engineer,100000,110000,275000,250000,192500.0
Golang,200000,135000,250000,350000,192500.0
Java,70000,130000,250000,327500,190000.0
Data scientist,82500,160000,215000,280000,187500.0
DBA,,95000,268900,270000,181950.0
1С программист,50000,150000,200000,250000,175000.0
c%2B%2B,80000,150000,200000,250000,175000.0
Android,56000,100000,225000,175000,162500.0
Python,65000,120000,200000,270000,160000.0
Javascript,60000,110000,200000,300000,155000.0
Ruby,,150000,155000,420000,152500.0
C%23,50000,100000,200000,350000,150000.0
php,50000,120000,172500,200000,146250.0
Frontend,54000,85000,180000,250000,132500.0
QA,55000,100000,152500,150000,126250.0
ABAP,,,,,
