,noExperience,between1And3,between3And6,moreThan6,mean
Data scientist,,230000,250000,360000,240000.0
Golang,70000,180000,250000,300000,215000.0
Java,62000,130000,250000,200000,190000.0
DevOps,70000,130000,250000,200000,190000.0
Data engineer,90000,127500,250000,250000,188750.0
Ruby,,110000,250000,450000,180000.0
1С программист,64000,150000,200000,250000,175000.0
Javascript,60000,100000,250000,250000,175000.0
DBA,50000,85000,250000,,167500.0
C%23,60000,130000,190000,230000,160000.0
c%2B%2B,95000,120000,200000,180000,160000.0
Android,80000,100000,210000,240000,155000.0
Python,70000,110000,200000,220000,155000.0
iOS,63500,100000,200000,257850,150000.0
Frontend,52500,110000,180000,280000,145000.0
php,60000,100000,188150,200000,144075.0
QA,40000,100000,157500,120000,128750.0
Scala,,,,,
ABAP,,,,,
Rust,160000,,300000,,
