,noExperience,between1And3,between3And6,moreThan6,mean
DBA,40000,210000,280000,325000,245000.0
Golang,75000,150000,300000,500000,225000.0
Data engineer,70000,160000,290000,350000,225000.0
Scala,,75000,350000,300000,212500.0
Java,70000,140000,250000,300000,195000.0
DevOps,80000,130000,250000,300000,190000.0
Data scientist,30000,110000,265000,550000,187500.0
Android,80000,120000,250000,300000,185000.0
iOS,55000,100000,241500,500000,170750.0
Ruby,207500,80000,250000,,165000.0
1С программист,45000,120000,190000,220000,155000.0
Javascript,60000,105000,200000,290000,152500.0
Python,50000,100000,200000,300000,150000.0
c%2B%2B,115000,120000,175000,250000,147500.0
QA,50000,92000,200000,250000,146000.0
php,50000,100000,180000,200000,140000.0
Frontend,45000,100000,180000,210000,140000.0
C%23,55000,100000,160000,300000,130000.0
ABAP,40000,60000,,,
Rust,,,250000,295000,
