,noExperience,between1And3,between3And6,moreThan6,mean
Data scientist,120000,150000,412500,350000,281250
Data engineer,100000,240000,300000,382500,270000
Rust,,200000,325000,400000,262500
Golang,450000,200000,260000,500000,230000
DBA,40000,175000,280000,375000,227500
DevOps,70000,150000,260000,350000,205000
Ruby,,150000,250000,350000,200000
Java,70000,150000,230000,320000,190000
Scala,,75000,275000,,175000
1С программист,59134,140000,200000,250000,170000
C%23,55000,127500,200000,350000,163750
iOS,70000,95000,230000,368750,162500
c%2B%2B,100000,125000,200000,250000,162500
php,45000,110000,200000,200000,155000
Javascript,65000,110000,200000,300000,155000
Frontend,50000,100000,200000,250000,150000
Android,60000,100000,200000,300000,150000
Python,65000,100000,200000,270000,150000
QA,50000,100000,150000,300000,125000
ABAP,,,,,
