,noExperience,between1And3,between3And6,moreThan6,mean
Data scientist,70000,152000,300000,315000,226000.0
Scala,,175000,275000,,225000.0
Golang,105000,150000,300000,350000,225000.0
Data engineer,80000,150000,250000,,200000.0
DevOps,64500,150000,250000,300000,200000.0
Ruby,34000,100000,300000,380000,200000.0
Rust,,190000,200000,,195000.0
Python,45000,187500,200000,300000,193750.0
ABAP,,150000,225000,,187500.0
iOS,50000,115000,250000,185000,182500.0
Java,70000,130000,230000,350000,180000.0
DBA,40000,110000,240000,290000,175000.0
Android,50000,120000,220000,250000,170000.0
Javascript,60000,100000,200000,250000,150000.0
1С программист,36800,120000,180000,200000,150000.0
C%23,60000,100000,180000,300000,140000.0
QA,40000,90000,180000,285000,135000.0
c%2B%2B,76750,100000,170000,230000,135000.0
Frontend,50000,90000,170000,200000,130000.0
php,45000,100000,160000,225000,130000.0
