,noExperience,between1And3,between3And6,moreThan6,mean
Scala,,207500,350000,,278750.0
Rust,,146500,300000,,223250.0
Golang,70000,180000,250000,350000,215000.0
Data scientist,55000,160000,266000,300000,213000.0
Data engineer,90000,165000,250000,250000,207500.0
DevOps,70000,150000,250000,250000,200000.0
Java,62000,120000,241000,250000,180500.0
Ruby,,80000,275000,,177500.0
Android,80000,100000,250000,250000,175000.0
iOS,57000,125000,220000,260000,172500.0
1С программист,62500,140000,200000,240000,170000.0
c%2B%2B,80000,150000,180000,250000,165000.0
C%23,60000,120000,200000,225000,160000.0
DBA,36000,67600,237500,,152550.0
php,60000,120000,180000,250000,150000.0
Python,72500,112500,187500,255000,150000.0
Javascript,70000,102000,180000,250000,141000.0
Frontend,60000,100000,160000,300000,130000.0
QA,50000,100000,150000,200000,125000.0
ABAP,,,230000,,
