,noExperience,between1And3,between3And6,moreThan6,mean
Rust,130000,175000,275000,275000,225000.0
Golang,75000,150000,250000,350000,200000.0
Data engineer,90000,150000,250000,290000,200000.0
DevOps,50000,150000,250000,300000,200000.0
DBA,98000,102500,275000,270000,188750.0
Data scientist,205450,109500,245000,435000,177250.0
iOS,60000,120000,220000,300000,170000.0
1С программист,51340,130000,200000,250000,165000.0
Java,70000,100000,230000,280000,165000.0
Scala,,100000,225000,,162500.0
Android,70000,100000,220000,250000,160000.0
Python,75000,117834,200000,270000,158917.0
C%23,60000,110000,200000,310000,155000.0
c%2B%2B,70000,110000,200000,250000,155000.0
Javascript,60000,110000,175800,287500,142900.0
php,52500,100000,180000,260000,140000.0
QA,50000,95000,180000,300000,137500.0
Frontend,50000,100000,170000,250000,135000.0
Ruby,,80000,150000,300000,115000.0
ABAP,,,,,
