,noExperience,between1And3,between3And6,moreThan6,mean
Rust,160000,275000,400000,300000,337500.0
Golang,85000,170000,230000,250000,200000.0
iOS,60000,140000,250000,200000,195000.0
Scala,180000,150000,240000,,195000.0
Data engineer,100000,138300,250000,250000,194150.0
Data scientist,60000,155000,200000,364500,177500.0
DevOps,70000,150000,205000,300000,177500.0
DBA,,105000,250000,,177500.0
Java,70000,120000,235000,300000,177500.0
1С программист,60000,150000,200000,250000,175000.0
Ruby,,150000,180000,350000,165000.0
Android,80000,100000,220000,250000,160000.0
c%2B%2B,80000,120000,200000,250000,160000.0
Python,65000,120000,195000,250000,157500.0
php,40000,120000,180000,200000,150000.0
Javascript,67500,120000,180000,300000,150000.0
C%23,75000,100000,180000,325000,140000.0
Frontend,50000,100000,160000,275000,130000.0
QA,58750,90000,160000,150000,125000.0
ABAP,70000,,,,
