,noExperience,between1And3,between3And6,moreThan6,mean
Data engineer,70000,160000,250000,250000,205000.0
Golang,90000,160000,240000,250000,200000.0
DevOps,70000,150000,240000,300000,195000.0
Java,70000,135000,235000,290000,185000.0
Data scientist,45000,160000,200000,280000,180000.0
iOS,85000,150000,200000,300000,175000.0
1С программист,50000,150000,200000,250000,175000.0
Scala,,100000,225000,,162500.0
c%2B%2B,80000,120000,200000,250000,160000.0
Python,70000,107500,200000,250000,153750.0
Android,80000,100000,200000,350000,150000.0
Javascript,62500,100000,200000,270000,150000.0
DBA,,40000,250000,500000,145000.0
C%23,75000,100000,180000,340000,140000.0
Ruby,,80000,200000,450000,140000.0
Frontend,50000,100000,180000,250000,140000.0
php,50000,100000,170000,250000,135000.0
QA,50000,100000,165000,150000,132500.0
ABAP,,,,,
Rust,125000,200000,,,
