tag,norm_val
JavaScript,1.0
Git,0.5361670395227442
CSS,0.4854586129753915
HTML5,0.42058165548098436
HTML,0.38851603281133484
React,0.3706189410887398
CSS3,0.3668903803131991
TypeScript,0.20656226696495153
jQuery,0.2058165548098434
Node.js,0.17002237136465326
AngularJS,0.168530947054437
Redux,0.14392244593586875
Sass,0.09992542878448919
Less,0.09992542878448919
Английский — B1 — Средний,0.09545115585384041
Vue.js,0.0842654735272185
Vue,0.08053691275167785
Bootstrap,0.07979120059656973
ООП,0.0790454884414616
Angular,0.07680835197613721
Английский язык,0.06785980611483967
Английский — B2 — Средне-продвинутый,0.06711409395973154
Webpack,0.06711409395973154
Typescript,0.06263982102908278
PHP,0.05741983594332588
REST,0.05592841163310962
MySQL,0.054436987322893364
react,0.049217002237136466
Agile Project Management,0.047725577926920205
ReactJS,0.042505592841163314
Linux,0.042505592841163314
Atlassian Jira,0.041014168530947054
XML,0.040268456375838924
PostgreSQL,0.0395227442207308
Ajax,0.036539895600298286
React.js,0.03281133482475764
React Native,0.03206562266964952
Java,0.03206562266964952
Adobe Photoshop,0.03206562266964952
