tag,norm_val
C++,1.0
Linux,0.5254010695187166
ООП,0.30080213903743314
Git,0.2914438502673797
C/C++,0.27540106951871657
Qt,0.26871657754010697
STL,0.20855614973262032
Python,0.18315508021390375
SQL,0.1497326203208556
Английский язык,0.09759358288770054
Английский — B2 — Средне-продвинутый,0.08689839572192513
Английский — B1 — Средний,0.0855614973262032
TCP/IP,0.07085561497326204
MS Visual Studio,0.06951871657754011
C#,0.06550802139037433
PostgreSQL,0.058823529411764705
Boost,0.058823529411764705
Android,0.05614973262032086
Java,0.05213903743315508
Разработка ПО,0.040106951871657755
MySQL,0.0374331550802139
Bash,0.0374331550802139
SVN,0.03609625668449198
iOS,0.03074866310160428
Atlassian Jira,0.029411764705882353
Windows,0.02807486631016043
Работа в команде,0.026737967914438502
MATLAB,0.02540106951871658
Design Patterns,0.02406417112299465
QML,0.02406417112299465
C,0.022727272727272728
Scrum,0.022727272727272728
MS Visual C++,0.022727272727272728
СУБД,0.022727272727272728
Mac Os,0.0213903743315508
.NET Framework,0.0213903743315508
Математическое моделирование,0.020053475935828877
OpenGL,0.020053475935828877
Unix,0.020053475935828877
