tag,norm_val
C++,1.0
Linux,0.5357142857142857
Git,0.3387096774193548
C/C++,0.27419354838709675
ООП,0.2672811059907834
Qt,0.25806451612903225
STL,0.22235023041474655
Python,0.22004608294930875
SQL,0.1382488479262673
Английский язык,0.12672811059907835
Английский — B2 — Средне-продвинутый,0.097926267281106
Английский — B1 — Средний,0.09216589861751152
PostgreSQL,0.08179723502304148
C#,0.07949308755760369
Boost,0.0748847926267281
TCP/IP,0.07027649769585254
MS Visual Studio,0.06451612903225806
Android,0.06451612903225806
Java,0.0576036866359447
MySQL,0.04723502304147465
Разработка ПО,0.04723502304147465
Bash,0.041474654377880185
Atlassian Jira,0.03917050691244239
MATLAB,0.03686635944700461
Работа в команде,0.03456221198156682
iOS,0.03341013824884793
SVN,0.03225806451612903
QML,0.03225806451612903
JavaScript,0.03225806451612903
C,0.029953917050691243
Mac Os,0.027649769585253458
Scrum,0.027649769585253458
Windows,0.02534562211981567
Design Patterns,0.02534562211981567
Unix,0.02534562211981567
Game Programming,0.024193548387096774
С++,0.024193548387096774
OpenGL,0.02304147465437788
CMake,0.021889400921658985
