tag,norm_val
Python,1.0
SQL,0.9099099099099099
Java,0.6426426426426426
Spark,0.40540540540540543
Linux,0.3843843843843844
Hadoop,0.35135135135135137
SCALA,0.35135135135135137
Git,0.26126126126126126
Big Data,0.23423423423423423
PostgreSQL,0.1981981981981982
Английский — B2 — Средне-продвинутый,0.16516516516516516
Data Mining,0.15915915915915915
ETL,0.14414414414414414
Английский язык,0.14114114114114115
ORACLE,0.13213213213213212
MS SQL,0.12912912912912913
Docker,0.12612612612612611
Kafka,0.12312312312312312
DWH,0.11711711711711711
ООП,0.11411411411411411
Английский — B1 — Средний,0.10510510510510511
MS SQL Server,0.0960960960960961
C++,0.0960960960960961
Spring Framework,0.0960960960960961
Анализ данных,0.09309309309309309
Bash,0.09309309309309309
Hive,0.08408408408408409
C#,0.08408408408408409
hadoop,0.08108108108108109
Kubernetes,0.07807807807807808
JavaScript,0.07807807807807808
Базы данных,0.06906906906906907
Atlassian Jira,0.06906906906906907
Oracle Pl/SQL,0.06906906906906907
NoSQL,0.06906906906906907
Работа с базами данных,0.06606606606606606
Английский — C1 — Продвинутый,0.06606606606606606
Agile Project Management,0.06306306306306306
Управление проектами,0.06006006006006006
