tag,norm_val
JavaScript,1.0
Git,0.5879163439194423
CSS,0.5383423702556158
HTML5,0.45313710302091403
HTML,0.4268009295120062
CSS3,0.38574748257164987
React,0.3563129357087529
jQuery,0.20759101471727343
TypeScript,0.16576297443841984
AngularJS,0.16421378776142526
Node.js,0.1611154144074361
Sass,0.1386522075910147
Redux,0.12316034082106894
Less,0.11463981409759876
Vue.js,0.09914794732765299
Angular,0.09217660728117738
ООП,0.07513555383423702
Bootstrap,0.07436096049573973
Английский — B1 — Средний,0.07281177381874517
react,0.07126258714175059
Typescript,0.0627420604182804
REST,0.061967467079783116
Webpack,0.060418280402788536
Английский язык,0.05964368706429125
Vue,0.056545313710302095
PHP,0.055770720371804805
Английский — B2 — Средне-продвинутый,0.053446940356312936
Linux,0.05112316034082107
MongoDB,0.042602633617350893
React.js,0.042602633617350893
Ajax,0.042602633617350893
Agile Project Management,0.041053446940356314
MySQL,0.040278853601859024
Кроссбраузерная верстка,0.040278853601859024
Atlassian Jira,0.039504260263361735
Java,0.037180480247869865
redux,0.033307513555383424
ReactJS,0.033307513555383424
Scrum,0.032532920216886134
