,rank
typescript,369.0
docker,362.0
PostgreSQL,359.0
API,358.0
rest api,357.0
js,354.0
vuejs,353.0
frontend,351.0
Redis,351.0
RabbitMQ,350.0
nest.js,344.0
nestjs,342.0
PHP,341.0
backend,340.0
SQL,337.5
laravel,335.0
kubernetes,332.0
REST,332.0
graphql,331.0
vue.js,329.0
ci/cd,327.0
Node.js,325.0
webpack,317.0
nuxt.js,316.5
ReactJS,315.0
Next.js,314.0
react,313.0
Java Script,310.0
ES6,308.0
JavaScript,303.5
HTML,300.0
Git,299.0
scss,299.0
react.js,298.0
Nginx,298.0
Linux,297.5
MySQL,297.5
NoSQL,294.5
MongoDB,294.5
gitlab,293.5
Python,293.0
vue,288.5
CSS,286.0
redux,282.0
CSS3,281.0
HTTP,281.0
github,281.0
Express.js,278.0
HTML5,277.0
C#,276.5
react native,270.0
figma,268.0
angular,266.5
nodejs,264.5
jQuery,260.0
MVC,257.0
Express,255.0
Sass,252.0
Java,251.5
Scrum,251.0
HTML/CSS,247.5
AngularJS,247.0
Ajax,245.5
vuex,241.5
JSON API,239.0
Bootstrap,238.0
aws,237.5
Unit Testing,237.5
Atlassian Jira,237.0
Less,229.0
SPA,227.5
Symfony,227.0
MS SQL,218.0
Agile Project Management,218.0
mobx,217.5
JSON,216.0
jest,215.0
QA,213.5
websocket,213.0
Jenkins,204.5
.NET Framework,201.0
.net core,198.0
yii2,196.0
ORACLE,195.0
C++,192.5
golang,189.0
kafka,188.0
swagger,185.0
websockets,185.0
go,178.0
it,176.5
Yii,175.0
ASP.NET,174.5
typeorm,173.5
SOAP,169.0
Nuxt,168.0
UI,167.0
elasticsearch,163.0
Design Patterns,149.5
solid,146.0
grpc,140.0
WebGL,128.0
CMS Wordpress,126.5
Ext JS,121.5
1С-Битрикс,113.5
webrtc,111.5
Unity,109.0
Teamleading,101.0
MS SQL Server,83.5
