,rank
grafana,342.0
devops,338.0
prometheus,337.0
kubernetes,337.0
gitlab,334.0
ansible,330.0
gitlab ci,329.0
ci/cd,328.0
docker,326.0
elk,325.0
kafka,322.0
helm,317.0
Jenkins,315.5
PostgreSQL,315.0
clickhouse,315.0
terraform,315.0
RabbitMQ,310.0
Zabbix,307.5
elasticsearch,306.0
Bash,303.5
Linux,303.0
openshift,302.0
k8s,301.0
Nginx,300.0
Администрирование серверов Linux,299.5
Redis,293.5
Unix Shell Scripts,289.0
IaC,286.0
Git,285.0
Python,284.0
ORACLE,283.0
PowerShell,282.5
Apache Kafka,281.0
VMware,278.5
Docker-compose,275.0
Ubuntu,274.0
Unix,273.0
golang,272.5
SQL,272.0
go,271.0
TCP/IP,270.0
Nexus,261.0
TeamCity,261.0
MongoDB,260.0
Ubuntu Server,256.5
MS SQL,256.0
MySQL,255.0
Debian,253.5
Node.js,252.0
OpenStack,250.0
Java,249.0
aws,245.0
Groovy,245.0
PHP,241.0
bitbucket,238.5
azure devops,238.0
Proxmox,235.0
Atlassian Jira,232.0
azure,230.5
CentOS,229.0
KVM,224.5
haproxy,220.0
Apache,216.0
MS SQL Server,208.0
Kibana,205.0
HTTP,204.5
CI,198.5
Puppet,195.0
Администрирование серверов Windows,194.5
Ruby,191.5
C#,188.0
sre,184.0
Apache Maven,184.0
JavaScript,183.0
NoSQL,181.0
Scrum,181.0
hadoop,180.5
Windows Server,176.5
VPN,174.0
Atlassian Confluence,168.0
Perl,161.0
Shell Scripting,156.5
Apache HTTP Server,144.0
Windows,143.5
English,143.0
SSH,141.0
blockchain,140.0
RHEL,128.0
Настройка DNS,123.0
Hyper-V,120.0
Docker Swarm,112.5
Active Directory,109.0
HTML,104.5
DHCP,94.5
Gradle,76.0
Cassandra,51.0
