,rank
Boost,501.0
OpenGL,499.0
cmake,497.5
docker,489.0
PostgreSQL,486.0
gamedev,484.0
Bash,484.0
Unity,482.0
Linux,482.0
ARM,479.0
Android,479.0
SQL,479.0
Multithread Programming,477.0
iOS,477.0
Unix,476.5
unreal engine,474.0
qml,471.0
Game Programming,470.5
TCP/IP,470.5
C/C++,465.5
STL,464.0
C,461.0
Qt,461.0
C++,459.0
Git,453.0
Python,443.0
opencv,429.0
MS Visual Studio,413.5
Java,412.5
MS SQL,412.0
MySQL,410.5
embedded,410.5
gitlab,409.0
JavaScript,407.0
golang,407.0
ci/cd,405.5
SVN,405.0
Windows,404.5
C#,404.0
HTTP,395.0
algorithms,387.0
GCC,386.5
Win32 Api,381.0
Atlassian Jira,380.0
MATLAB,372.5
Scrum,371.5
CUDA,368.5
Design Patterns,366.0
MS Visual C++,364.0
HTML,362.0
Mac Os,362.0
MFC,361.5
Windows API,359.0
Unit Testing,359.0
.NET Framework,354.5
Shell Scripting,353.0
ORACLE,352.0
NoSQL,351.0
Android SDK,347.0
Cистемы управления базами данных,345.0
UDP,340.0
STM32,336.5
Eclipse,334.5
SIP,332.0
XML,330.0
Lua,324.0
SQLite,323.5
computer vision,320.5
RTOS,320.5
Jenkins,318.0
Objective-C,316.0
DirectX,314.0
VoIP,311.0
UI,298.5
PHP,288.0
Redis,287.5
solid,278.0
MS SQL Server,277.5
API,272.0
Программирование 3D-графики,271.0
UML,270.0
REST,267.0
GUI,264.5
HTML5,255.0
Redmine,250.0
OpenCL,241.5
TCP,241.0
posix,241.0
rust,228.0
iot,219.0
fault tolerance,185.5
asynchronious sockets,185.5
multiprocessing,177.0
low latency,177.0
real-time failover,177.0
RabbitMQ,173.5
lock-free,167.0
MQL5,165.0
Big Data,142.5
FreeRTOS,129.0
IPC,125.0
Open Source,116.5
Sailfish OS,109.0
