,rank
kafka,307.0
API,300.0
REST,300.0
BPMN,300.0
RabbitMQ,299.0
UML,296.0
rest api,294.0
spring boot,292.0
SOAP,291.0
kubernetes,289.0
golang,288.0
XML,283.0
Apache Kafka,283.0
ci/cd,282.0
PostgreSQL,274.5
gitlab,274.0
grpc,273.0
go,270.5
devops,269.0
Redis,269.0
JSON,268.0
docker,264.0
clickhouse,264.0
MS SQL,262.5
typescript,260.0
kotlin,259.5
SQL,253.0
Java,253.0
it,253.0
Python,253.0
swagger,252.0
grafana,244.0
laravel,243.0
JSON API,242.0
QA,242.0
HTTP,242.0
postman,240.0
.net core,237.0
Jenkins,236.0
elasticsearch,231.5
react,231.5
ORACLE,229.0
Spring Framework,229.0
PHP,228.0
Linux,226.5
Atlassian Jira,223.0
C#,222.5
Git,222.0
NoSQL,220.5
MongoDB,220.0
Atlassian Confluence,218.5
MySQL,216.5
ASP.NET,216.0
Bash,214.0
.NET Framework,212.5
ansible,211.0
JavaScript,209.0
microservices,205.0
Scrum,205.0
Hibernate,203.0
Agile,202.0
Node.js,201.5
Django Framework,201.0
solid,200.0
Nginx,199.0
Symfony,196.5
elk,193.0
spring,191.0
openshift,190.0
Hibernate ORM,189.0
backend,188.5
HTML,188.0
SOA,187.0
Agile Project Management,187.0
C++,185.0
prometheus,180.5
pytest,178.0
Unit Testing,173.0
Zabbix,172.5
gitlab ci,166.5
Entity Framework,163.0
CSS,161.5
camunda,159.0
Apache Maven,153.5
JUnit,149.0
Teamleading,135.0
Flask,134.5
vue.js,133.5
Администрирование серверов Linux,133.5
celery,128.5
graphql,125.5
ETL,121.0
Selenium,120.0
hadoop,117.0
terraform,116.0
TCP/IP,111.5
Java SE,110.5
MS SQL Server,109.5
HTML5,107.0
Spring Cloud,104.5
DDD,102.5
angular,99.5
js,98.5
Unix,84.0
redux,80.5
Spring Data,74.5
