tag,norm_val
JavaScript,1.0
Git,0.5557851239669421
React,0.4152892561983471
CSS,0.39669421487603307
TypeScript,0.378099173553719
HTML,0.3243801652892562
HTML5,0.32231404958677684
Node.js,0.2665289256198347
CSS3,0.2334710743801653
Redux,0.17148760330578514
AngularJS,0.13429752066115702
Английский — B1 — Средний,0.13429752066115702
C#,0.128099173553719
Английский — B2 — Средне-продвинутый,0.12396694214876033
Typescript,0.1115702479338843
Английский язык,0.10537190082644628
ООП,0.1012396694214876
PostgreSQL,0.1012396694214876
SQL,0.09917355371900827
Angular,0.09090909090909091
Less,0.09090909090909091
jQuery,0.08057851239669421
REST,0.07851239669421488
Sass,0.07851239669421488
.NET Framework,0.0743801652892562
Java,0.0743801652892562
Linux,0.07024793388429752
react,0.07024793388429752
MySQL,0.06611570247933884
ASP.NET,0.05991735537190083
Vue,0.05991735537190083
PHP,0.05578512396694215
ReactJS,0.05371900826446281
Webpack,0.05165289256198347
MongoDB,0.05165289256198347
MS SQL,0.049586776859504134
typescript,0.047520661157024795
Bootstrap,0.04338842975206612
Scrum,0.0371900826446281
