tag,norm_val
JavaScript,1.0
Git,0.4901098901098901
Node.js,0.43626373626373627
CSS,0.3274725274725275
HTML,0.27692307692307694
HTML5,0.26263736263736265
CSS3,0.21978021978021978
React,0.1879120879120879
PostgreSQL,0.17142857142857143
MySQL,0.14505494505494507
MongoDB,0.14175824175824175
AngularJS,0.12637362637362637
Английский — B1 — Средний,0.11868131868131868
TypeScript,0.11428571428571428
PHP,0.1087912087912088
jQuery,0.1076923076923077
SQL,0.1054945054945055
Английский язык,0.1043956043956044
Vue.js,0.0978021978021978
Английский — B2 — Средне-продвинутый,0.08681318681318681
ООП,0.08461538461538462
Redux,0.08351648351648351
Linux,0.07582417582417582
react,0.06373626373626373
Atlassian Jira,0.06043956043956044
Docker,0.05824175824175824
Redis,0.056043956043956046
REST,0.056043956043956046
React.js,0.05274725274725275
Java,0.05274725274725275
Bootstrap,0.051648351648351645
C#,0.051648351648351645
Python,0.04945054945054945
Sass,0.04835164835164835
Agile Project Management,0.045054945054945054
Scrum,0.045054945054945054
Английский — A1 — Начальный,0.041758241758241756
Ajax,0.03956043956043956
Vue,0.03626373626373627
