tag,norm_val
JavaScript,1.0
Git,0.49209932279909707
Node.js,0.42325056433408575
CSS,0.33521444695259595
HTML,0.28893905191873587
HTML5,0.23702031602708803
CSS3,0.1873589164785553
React,0.18058690744920994
PostgreSQL,0.1670428893905192
MySQL,0.136568848758465
MongoDB,0.1343115124153499
AngularJS,0.12189616252821671
Английский язык,0.11963882618510158
TypeScript,0.11399548532731377
SQL,0.10835214446952596
PHP,0.10496613995485328
Английский — B1 — Средний,0.10270880361173815
Vue.js,0.10158013544018059
Английский — B2 — Средне-продвинутый,0.0981941309255079
jQuery,0.09593679458239278
Linux,0.08465011286681716
ООП,0.08239277652370203
Atlassian Jira,0.06659142212189616
Redux,0.06659142212189616
C#,0.05869074492099323
Redis,0.05417607223476298
Python,0.050790067720090294
Docker,0.04853273137697517
react,0.04853273137697517
Agile Project Management,0.04853273137697517
REST,0.046275395033860044
Vue,0.045146726862302484
React.js,0.04288939051918736
Sass,0.04288939051918736
Scrum,0.0417607223476298
Java,0.040632054176072234
Английский — A1 — Начальный,0.039503386004514675
Angular,0.039503386004514675
Bootstrap,0.03724604966139955
