tag,norm_val
Java,1.0
Spring Framework,0.6544574982722875
SQL,0.3669661368348307
Git,0.35590877677954386
PostgreSQL,0.30960608154803043
Hibernate ORM,0.25570145127850724
Java SE,0.16447823082239116
Apache Maven,0.15411195577055978
Java EE,0.1375259156876296
ООП,0.12024879060124395
REST,0.11955770559778853
JavaScript,0.10573600552868002
Английский — B1 — Средний,0.10573600552868002
Linux,0.09536973047684866
JUnit,0.07532826537664132
Английский — B2 — Средне-продвинутый,0.07394609536973047
Atlassian Jira,0.06703524533517623
Английский язык,0.06703524533517623
Kotlin,0.06496199032480995
MySQL,0.05459571527297857
Docker,0.053213545266067724
HTML,0.0525224602626123
MongoDB,0.0497581202487906
ORACLE,0.04561161022805805
Kafka,0.044920525224602624
Spring Boot,0.043538355217691775
CSS,0.04077401520387008
MS SQL,0.035245335176226675
SOAP,0.03455425017277125
Agile Project Management,0.031098825155494125
RabbitMQ,0.0304077401520387
Java Servlets,0.0304077401520387
XML,0.02902557014512785
Apache Tomcat,0.02902557014512785
Kubernetes,0.028334485141672427
Spring,0.02626123013130615
Redis,0.023496890117484452
JDBC,0.023496890117484452
SCALA,0.022805805114029024
