,noExperience,between1And3,between3And6,moreThan6,mean
Ruby,,250000,250000,300000,250000.0
Scala,180000,250000,250000,,250000.0
Golang,105000,200000,300000,350000,250000.0
Data scientist,100000,170000,300000,280000,235000.0
Data engineer,90000,200000,240000,250000,220000.0
DBA,,150000,250000,335000,200000.0
DevOps,70000,127500,250000,275000,188750.0
Java,62000,120000,242500,200000,181250.0
Android,57000,100000,250000,250000,175000.0
C%23,60000,143000,190000,150000,166500.0
1С программист,60000,132886,200000,220000,166443.0
iOS,60000,110000,200000,300000,155000.0
php,50000,120000,180000,230000,150000.0
c%2B%2B,55000,120000,180000,235000,150000.0
Python,70000,110000,180000,300000,145000.0
Frontend,56000,120000,157500,300000,138750.0
Javascript,75000,100000,157500,405000,128750.0
QA,50000,100000,157500,120000,128750.0
ABAP,,,,,
Rust,,,150000,,
