,noExperience,between1And3,between3And6,moreThan6,mean
Data scientist,277500,150000,350000,450000,250000.0
Rust,,140000,325000,325000,232500.0
Data engineer,100000,170000,250000,250000,210000.0
DevOps,70000,150000,250000,300000,200000.0
Golang,100000,145000,250000,350000,197500.0
iOS,40000,110000,250000,257850,180000.0
c%2B%2B,80000,130000,200000,240000,165000.0
1С программист,60000,130000,200000,230000,165000.0
Scala,,100000,225000,,162500.0
DBA,,72500,250000,350000,161250.0
Java,70000,120000,200000,350000,160000.0
C%23,77500,119500,200000,350000,159750.0
Android,50000,100000,210000,250000,155000.0
Ruby,,130000,170000,185000,150000.0
Python,72680,100000,200000,250000,150000.0
Frontend,50000,100000,185000,275000,142500.0
Javascript,60000,105000,177500,300000,141250.0
php,60000,100000,180000,100000,140000.0
QA,65000,100000,180000,165000,140000.0
ABAP,,,,,
