,noExperience,between1And3,between3And6,moreThan6,mean
Golang,45000,200000,300000,300000,250000.0
DBA,70000,209500,260000,350000,234750.0
Data engineer,70000,150000,280000,300000,215000.0
Scala,,100000,325000,300000,212500.0
Data scientist,,200000,209200,550000,204600.0
DevOps,60000,140000,250000,300000,195000.0
Java,70000,130000,250000,340000,190000.0
Android,55000,120000,235000,350000,177500.0
Ruby,,80000,250000,375000,165000.0
iOS,50000,95000,210000,250000,152500.0
1С программист,50000,120000,180000,200000,150000.0
Python,47500,100000,200000,280000,150000.0
Javascript,50000,115000,180000,290000,147500.0
Rust,,80000,210000,280000,145000.0
c%2B%2B,80000,110000,180000,245000,145000.0
QA,45000,90000,200000,300000,145000.0
php,50000,100000,180000,210000,140000.0
C%23,52500,100000,180000,300000,140000.0
Frontend,40000,100000,180000,230600,140000.0
ABAP,40000,,,,
