,noExperience,between1And3,between3And6,moreThan6,mean
DBA,,120000,350000,,235000.0
DevOps,70000,150000,250000,250000,200000.0
Data engineer,180000,138750,250000,250000,194375.0
Data scientist,95000,160000,225000,280000,192500.0
Java,70000,100000,250000,180000,175000.0
1С программист,60000,149500,200000,250000,174750.0
Golang,90000,90000,250000,300000,170000.0
c%2B%2B,80000,135000,200000,250000,167500.0
iOS,65000,100000,220000,200000,160000.0
Android,52500,100000,220000,265000,160000.0
Python,45000,120000,200000,250000,160000.0
Ruby,,60000,255000,,157500.0
Javascript,70000,120000,190000,265000,155000.0
C%23,68500,100000,200000,280000,150000.0
Frontend,50000,100000,200000,217700,150000.0
php,60000,113500,185000,200000,149250.0
QA,55000,90000,200000,120000,145000.0
Scala,,,350000,,
ABAP,,,,,
Rust,125000,,225000,400000,
