,noExperience,between1And3,between3And6,moreThan6,mean
Rust,,350000,200000,,275000
Data scientist,80000,170000,325000,425000,247500
Data engineer,100000,210000,250000,320000,230000
DBA,40000,155000,300000,350000,227500
Golang,75000,170000,250000,500000,210000
DevOps,65000,150000,250000,300000,200000
Java,70000,130000,250000,350000,190000
Android,75000,120000,250000,375000,185000
Ruby,,140000,200000,400000,170000
1С программист,50000,133103,200000,250000,166551.5
Scala,,100000,230000,300000,165000
Javascript,50000,102500,200000,200000,151250
Python,50000,100000,200000,250000,150000
iOS,55000,95000,200000,293750,147500
php,50000,110000,180000,215000,145000
Frontend,60000,100000,180000,250000,140000
c%2B%2B,60000,105000,175000,230000,140000
C%23,49000,110000,150000,350000,130000
QA,60000,90000,160000,250000,125000
ABAP,,,240000,,
