,noExperience,between1And3,between3And6,moreThan6,mean
Data scientist,25000,300000,300000,550000,300000.0
DBA,60000,273000,280000,,276500.0
Rust,,235000,250000,,242500.0
Data engineer,70000,135000,300000,390000,217500.0
Scala,470000,75000,350000,300000,212500.0
Golang,150000,160000,250000,375000,205000.0
DevOps,40000,150000,250000,350000,200000.0
Java,70000,135000,250000,320000,192500.0
iOS,60000,120000,250000,328750,185000.0
Android,70000,110000,250000,340000,180000.0
c%2B%2B,67500,120000,200000,230000,160000.0
1С программист,50000,120000,200000,230000,160000.0
Javascript,70000,120000,200000,250000,160000.0
Python,60000,110000,200000,260000,155000.0
Frontend,90000,96000,200000,250000,148000.0
Ruby,,86000,200000,,143000.0
php,55000,100000,180000,250000,140000.0
QA,50000,90000,180000,180000,135000.0
C%23,70000,100000,150000,350000,125000.0
ABAP,40000,,,,
