,noExperience,between1And3,between3And6,moreThan6,mean
Data scientist,52500,190000,350000,550000,270000.0
Data engineer,100000,240000,300000,325000,270000.0
DBA,40000,200000,300000,350000,250000.0
Rust,40000,225000,250000,160000,237500.0
Golang,75000,150000,300000,550000,225000.0
Scala,,100000,350000,300000,225000.0
DevOps,75000,150000,250000,255000,200000.0
Java,70000,150000,235000,345000,192500.0
Android,75000,120000,250000,300000,185000.0
1С программист,50000,140000,200000,230000,170000.0
C%23,55000,120000,200000,325000,160000.0
iOS,65000,100000,200000,400000,150000.0
Python,60000,100000,200000,270000,150000.0
Ruby,60000,140000,155000,300000,147500.0
php,60000,100000,180000,225000,140000.0
Frontend,45000,100000,180000,200000,140000.0
c%2B%2B,80000,100000,180000,230000,140000.0
QA,50000,85000,193900,250000,139450.0
Javascript,60000,100000,175000,200000,137500.0
ABAP,,,125000,,
