,noExperience,between1And3,between3And6,moreThan6,mean
DBA,,201700,300000,,250850.0
DevOps,70000,150000,250000,250000,200000.0
Golang,175000,150000,245000,300000,197500.0
Data engineer,180000,150000,235000,250000,192500.0
iOS,57000,140000,236500,180000,188250.0
Java,70000,125000,250000,200000,187500.0
Data scientist,,165000,200000,280000,182500.0
1С программист,60000,150000,200000,250000,175000.0
c%2B%2B,65000,150000,200000,200000,175000.0
Ruby,,60000,260000,,160000.0
Python,70000,120000,200000,250000,160000.0
C%23,50000,120000,190000,278000,155000.0
Javascript,60000,120000,180000,300000,150000.0
Android,80000,100000,200000,200000,150000.0
php,50000,110000,170000,235000,140000.0
Frontend,65000,100000,180000,280000,140000.0
QA,55000,100000,180000,150000,140000.0
Scala,,,350000,,
ABAP,,,,,
Rust,125000,,300000,,
