,noExperience,between1And3,between3And6,moreThan6,mean
Rust,40000,375000,250000,,312500.0
Data scientist,55000,200000,412500,550000,306250.0
Golang,300000,180000,300000,400000,240000.0
Ruby,,140000,325000,350000,232500.0
DBA,180000,170000,280000,350000,225000.0
Scala,,85000,350000,300000,217500.0
Data engineer,100000,138000,280000,325000,209000.0
Java,70000,150000,250000,335000,200000.0
DevOps,80000,150000,250000,300000,200000.0
Android,80000,100000,250000,310000,175000.0
1С программист,40000,136500,200000,250000,168250.0
Python,23500,112500,200000,270000,156250.0
Javascript,40000,105000,200000,290000,152500.0
C%23,60000,115000,190000,350000,152500.0
iOS,60000,80000,220000,350000,150000.0
QA,50000,100000,195000,270000,147500.0
c%2B%2B,68750,110000,180000,235000,145000.0
php,50000,100000,180000,300000,140000.0
Frontend,40000,80000,180000,215000,130000.0
ABAP,50000,,,,
