,noExperience,between1And3,between3And6,moreThan6,mean
Golang,85000,150000,250000,325000,200000.0
Data engineer,70000,150000,250000,250000,200000.0
DevOps,70000,140000,250000,280000,195000.0
DBA,,160000,200000,,180000.0
Android,90000,100000,250000,300000,175000.0
Data scientist,50000,150000,200000,400000,175000.0
1С программист,50000,142500,200000,250000,171250.0
Java,70000,130000,200000,265000,165000.0
c%2B%2B,90000,120000,200000,200000,160000.0
iOS,85000,80000,235000,307850,157500.0
Rust,90000,110000,200000,,155000.0
C%23,50000,100000,200000,250000,150000.0
php,45800,116000,165000,200000,140500.0
Frontend,52500,100000,180000,250000,140000.0
Javascript,60000,110000,170000,295000,140000.0
Python,72500,100000,180000,270000,140000.0
Ruby,,80000,180000,,130000.0
QA,50000,90000,150000,150000,120000.0
Scala,180000,,225000,200000,
ABAP,,,,,
