,noExperience,between1And3,between3And6,moreThan6,mean
Data engineer,90000,230000,260000,250000,245000.0
Scala,,165000,250000,,207500.0
DevOps,70000,150000,225000,220000,187500.0
Golang,,120000,250000,375000,185000.0
Java,62000,115000,240000,130000,177500.0
iOS,100000,100000,251500,200000,175750.0
DBA,60000,68000,275000,,171500.0
Javascript,65000,123610,200000,250000,161805.0
c%2B%2B,400000,120000,200000,170000,160000.0
php,60000,140000,180000,230000,160000.0
1С программист,60000,140000,180000,250000,160000.0
Frontend,80000,127500,190700,195000,159100.0
Python,85000,110000,200000,130000,155000.0
C%23,400000,100000,200000,150000,150000.0
Android,87400,100000,200000,270000,150000.0
QA,40000,100000,140000,120000,120000.0
Ruby,,,250000,,
Data scientist,,,200000,240000,
ABAP,,,,,
Rust,160000,,275000,,
