tag,norm_val
SQL,1.0
MS SQL,0.4815533980582524
Python,0.27766990291262134
Oracle Pl/SQL,0.26990291262135924
MS SQL Server,0.2563106796116505
Базы данных,0.16310679611650486
ORACLE,0.15145631067961166
PostgreSQL,0.13980582524271845
Transact-SQL,0.12233009708737864
Работа с базами данных,0.1145631067961165
Английский язык,0.08932038834951456
Power BI,0.08932038834951456
Бизнес-анализ,0.08737864077669903
ETL,0.08349514563106795
База данных: Oracle,0.08155339805825243
MS Excel,0.07766990291262135
Анализ данных,0.07766990291262135
XML,0.07572815533980583
Английский — B1 — Средний,0.06990291262135923
Аналитическое мышление,0.06796116504854369
Cистемы управления базами данных,0.06601941747572816
ООП,0.062135922330097085
Atlassian Jira,0.062135922330097085
VBA,0.06019417475728155
Tableau,0.06019417475728155
Системный анализ,0.05825242718446602
C#,0.05825242718446602
СУБД,0.05825242718446602
Git,0.05825242718446602
Delphi,0.05825242718446602
Java,0.05048543689320388
DWH,0.05048543689320388
MS PowerPoint,0.04466019417475728
Разработка технических заданий,0.04466019417475728
JavaScript,0.04466019417475728
Olap (online analytical processing),0.04271844660194175
Linux,0.04271844660194175
MS Access,0.04271844660194175
UML,0.04271844660194175
