tag,norm_val
PHP,1.0
MySQL,0.7182705718270572
Git,0.6234309623430963
JavaScript,0.5369595536959554
ООП,0.33751743375174337
Symfony,0.297768479776848
PostgreSQL,0.29707112970711297
CSS,0.2900976290097629
HTML,0.2894002789400279
SQL,0.2733612273361227
Laravel,0.24686192468619247
PHP5,0.23709902370990238
Yii,0.23361227336122734
jQuery,0.1806136680613668
Linux,0.16387726638772665
1С-Битрикс,0.13528591352859135
Docker,0.12133891213389121
REST,0.11785216178521618
Redis,0.11715481171548117
MVC,0.10111576011157601
HTML5,0.09832635983263599
Ajax,0.08507670850767085
Yii2,0.08228730822873083
CSS3,0.06624825662482567
React,0.06555090655509066
Bootstrap,0.05788005578800558
API,0.05788005578800558
MongoDB,0.05439330543933055
React JS,0.05299860529986053
PHP7,0.05090655509065551
Английский язык,0.04881450488145049
Английский — B1 — Средний,0.04741980474198047
RabbitMQ,0.04741980474198047
Английский — B2 — Средне-продвинутый,0.044630404463040445
Nginx,0.043933054393305436
Node.js,0.043933054393305436
Веб-программирование,0.043235704323570434
MS SQL,0.03556485355648536
AngularJS,0.03556485355648536
