,noExperience,between1And3,between3And6,moreThan6,mean
программист,60000,100000,180000,250000,140000.0
машинист,68000,110000,163500,170000,136750.0
директор,60000,100000,155000,200000,127500.0
нефть,68000,92200,150000,300000,121100.0
чпу,70000,100000,130000,175000,115000.0
токарь,61638,100000,130000,140000,115000.0
инженер,75000,100000,130000,150000,115000.0
врач,70000,100000,120000,120000,110000.0
сварщик,80000,100000,120000,100000,110000.0
менеджер,65000,90000,120000,120000,105000.0
повар,60000,80000,100000,115000,90000.0
водитель,85000,90000,87609,85000,88804.5
бухгалтер,50000,70000,100000,120000,85000.0
электрик,68483,80000,90000,81650,85000.0
слесарь,70000,80000,84650,80825,82325.0
финансист,50000,74500,88500,100000,81500.0
юрист,48000,70000,87900,100000,78950.0
комплектовщик,75000,75000,80000,70000,77500.0
курьер,80000,70000,80000,120000,75000.0
разнорабочий,65000,70000,75000,67500,72500.0
тракторист,65000,70000,72500,85000,71250.0
медсестра,58000,70000,70000,79900,70000.0
сантехник,55000,70000,70000,100000,70000.0
охранник,35500,45000,75000,80000,60000.0
продавец,50000,60000,60000,42500,60000.0
уборщица,38000,48000,70000,100000,59000.0
дворник,38000,48000,70000,100000,59000.0
учитель,40000,50000,63000,65000,56500.0
санитарка,36600,50000,60000,28000,55000.0
психолог,40000,50000,60000,60000,55000.0
матрос,50000,60000,49150,,54575.0
