,noExperience,between1And3,between3And6,moreThan6,mean
токарь,60000,220000,150000,100000,185000.0
программист,55000,100000,200000,230000,150000.0
машинист,65000,130000,170000,150000,150000.0
директор,60000,100000,150000,200000,125000.0
сварщик,75000,100000,137000,150000,118500.0
инженер,65200,100000,130000,129000,115000.0
чпу,60000,100000,130000,120000,115000.0
врач,60000,90000,100000,110000,95000.0
нефть,55532,89000,97820,78130,93410.0
менеджер,60000,80000,100000,100000,90000.0
повар,58000,80000,100000,120000,90000.0
слесарь,70000,85000,90000,80000,87500.0
водитель,90000,80000,80000,85000,80000.0
финансист,51000,62500,84000,80000,73250.0
электрик,60000,70000,75000,75000,72500.0
юрист,40000,62000,80000,100000,71000.0
разнорабочий,80000,70000,70000,70000,70000.0
бухгалтер,45000,60000,80000,100000,70000.0
курьер,85000,70000,70000,60000,70000.0
матрос,40500,52200,85000,,68600.0
тракторист,60000,69000,60000,60000,64500.0
комплектовщик,70000,65000,63000,70000,64000.0
сантехник,50000,60000,60000,65250,60000.0
охранник,50000,50000,65650,108000,57825.0
медсестра,45000,55000,60000,60000,57500.0
дворник,31000,40000,70000,65000,55000.0
уборщица,31000,40000,70000,65000,55000.0
продавец,47000,55000,50000,40000,52500.0
психолог,30000,40000,60000,47500,50000.0
учитель,32500,44628,50000,60000,47314.0
санитарка,30000,40000,36850,23800,38425.0
