,noExperience,between1And3,between3And6,moreThan6,mean
машинист,68768,145000,176000,200000,160500.0
программист,60000,100000,180000,250000,140000.0
нефть,62373,110000,150000,,130000.0
директор,60000,100000,160000,200000,130000.0
инженер,75000,100000,150000,150000,125000.0
токарь,62000,100000,140000,108350,120000.0
врач,70000,100000,130000,120000,115000.0
сварщик,80000,100000,130000,170000,115000.0
чпу,70000,100000,130000,170000,115000.0
менеджер,70000,90000,120000,130000,105000.0
водитель,97800,90000,90000,100000,90000.0
повар,63000,80000,100000,120000,90000.0
слесарь,75000,90000,85000,84500,87500.0
бухгалтер,55000,70000,100000,120000,85000.0
электрик,70000,80000,90000,90000,85000.0
юрист,45000,70000,98000,100000,84000.0
курьер,80000,92000,75000,50000,83500.0
финансист,70000,70000,94300,100000,82150.0
разнорабочий,75000,70000,88500,57500,79250.0
комплектовщик,75000,75000,80000,120000,77500.0
сантехник,60000,70000,75000,70000,72500.0
тракторист,70000,70900,70000,80000,70450.0
медсестра,55000,66120,65000,70000,65560.0
охранник,40000,45000,75000,125000,60000.0
продавец,55000,60000,60000,52500,60000.0
учитель,40000,50000,60000,60000,55000.0
уборщица,40000,49050,60000,67500,54525.0
дворник,40000,49050,60000,67500,54525.0
психолог,39000,45000,60000,53500,52500.0
санитарка,37875,50000,45000,70000,47500.0
матрос,50000,60000,,,
