,noExperience,between1And3,between3And6,moreThan6,mean
машинист,70000,143000,174000,170000,158500.0
сварщик,89827,120000,170000,130000,145000.0
токарь,60000,163010,124145,90000,143577.5
программист,50000,100000,180000,250000,140000.0
директор,50000,100000,150000,200000,125000.0
инженер,70000,100000,130000,130000,115000.0
чпу,60000,100000,120000,100000,110000.0
врач,70000,90000,110000,110000,100000.0
нефть,55532,94000,97160,100000,95580.0
менеджер,60000,80000,110000,100000,95000.0
матрос,36000,50000,130000,,90000.0
повар,60000,80000,100000,112000,90000.0
слесарь,75000,90000,90000,70000,90000.0
водитель,89800,85500,85000,80000,85250.0
электрик,60000,70000,77000,80000,73500.0
разнорабочий,90000,86000,60000,40000,73000.0
юрист,40000,65000,80000,100000,72500.0
финансист,56000,65000,80000,90000,72500.0
бухгалтер,50000,60000,80000,100000,70000.0
тракторист,68000,70000,65000,80000,67500.0
курьер,77000,67000,65000,45000,66000.0
комплектовщик,70100,70000,60000,70000,65000.0
сантехник,50000,65000,63000,60000,64000.0
охранник,50000,50000,70000,108000,60000.0
медсестра,46290,55000,60000,64350,57500.0
продавец,50000,59771,51555,46700,55663.0
дворник,33000,45000,54000,50000,49500.0
уборщица,33000,45000,54000,50000,49500.0
учитель,35000,40000,50000,50000,45000.0
психолог,30000,40000,50000,51500,45000.0
санитарка,30000,40000,47000,,43500.0
