,noExperience,between1And3,between3And6,moreThan6,mean
машинист,70600,145000,180000,180000,162500.0
программист,50000,100000,180000,230000,140000.0
токарь,60000,165000,110000,100000,137500.0
сварщик,80000,120000,140000,100000,130000.0
директор,50000,96000,150000,200000,123000.0
инженер,70000,100000,140000,135000,120000.0
чпу,65000,100000,120000,120000,110000.0
менеджер,60000,80000,110000,100000,95000.0
врач,65000,88000,100000,110000,94000.0
повар,60000,80000,100000,112000,90000.0
слесарь,70000,90000,86000,75000,88000.0
водитель,95000,90000,85000,90000,87500.0
нефть,46000,75575,97960,100000,86767.5
электрик,63980,70000,80000,80000,75000.0
юрист,42000,63090,80000,80000,71545.0
бухгалтер,46000,60000,80000,100000,70000.0
финансист,45000,60000,80000,85000,70000.0
разнорабочий,90000,75000,65000,55000,70000.0
тракторист,60000,70000,66000,80000,68000.0
комплектовщик,71000,70000,65000,80000,67500.0
охранник,50000,51000,75000,129500,63000.0
курьер,70000,60000,65000,67500,62500.0
сантехник,50000,64850,60000,60250,62425.0
матрос,50000,49000,69425,,59212.5
медсестра,48500,55000,60000,65000,57500.0
продавец,50000,60000,50000,45400,55000.0
психолог,32000,40000,60000,40000,50000.0
учитель,35000,45000,50000,50000,47500.0
дворник,35000,45000,47759,45000,46379.5
уборщица,35000,45000,47759,45000,46379.5
санитарка,31300,40000,36850,42500,38425.0
