,noExperience,between1And3,between3And6,moreThan6,mean
машинист,69000,120000,180000,180000,150000.0
программист,62000,100000,198000,230000,149000.0
нефть,53000,91250,180000,,135625.0
сварщик,73539,100000,150000,120000,125000.0
инженер,75000,100000,150000,150000,125000.0
директор,60000,100000,150000,200000,125000.0
чпу,70000,100000,130800,145000,115400.0
врач,70000,100000,130000,150000,115000.0
токарь,60080,90000,120000,100000,105000.0
финансист,70000,87553,120000,35000,103776.5
менеджер,70000,84500,120000,130000,102250.0
матрос,46977,100000,100000,,100000.0
курьер,90000,110000,80000,60000,95000.0
повар,60000,83950,100000,130000,91975.0
электрик,67000,93000,90000,90000,91500.0
водитель,100000,90000,90000,100000,90000.0
бухгалтер,54750,70000,100000,110000,85000.0
слесарь,70000,90000,80000,83000,85000.0
юрист,50000,70000,91877,110000,80938.5
тракторист,70000,77000,82500,80000,79750.0
комплектовщик,75000,77000,80000,65000,78500.0
сантехник,60000,70000,78735,65000,74367.5
разнорабочий,70000,80000,60950,67300,70475.0
медсестра,55000,69000,70000,60000,69500.0
продавец,52628,65000,69000,120000,67000.0
уборщица,40000,50000,80000,130000,65000.0
дворник,40000,50000,80000,130000,65000.0
психолог,35952,50000,70000,60000,60000.0
охранник,40000,47000,73000,127000,60000.0
учитель,35904,50000,62000,50000,56000.0
санитарка,40000,50000,52500,,51250.0
