,noExperience,between1And3,between3And6,moreThan6,mean
машинист,68000,140000,190000,120000,165000.0
программист,62000,110000,180000,215000,145000.0
сварщик,75000,105000,170000,150000,137500.0
инженер,72000,108867,150000,150000,129433.5
директор,60000,100000,150000,200000,125000.0
врач,75000,100000,139200,150000,119600.0
чпу,70000,100000,130000,150000,115000.0
токарь,61000,90000,120000,150000,105000.0
менеджер,70000,90000,120000,143850,105000.0
финансист,70000,90000,113000,120000,101500.0
водитель,100000,90000,100000,100000,95000.0
электрик,65000,95000,90000,81650,92500.0
повар,65000,80000,100000,150000,90000.0
слесарь,66961,90000,85000,87250,87500.0
нефть,75000,73000,99000,150000,86000.0
бухгалтер,57500,70000,100000,110000,85000.0
курьер,100000,90000,78500,80000,84250.0
матрос,60000,100000,61650,100000,80825.0
юрист,55000,70000,90000,120000,80000.0
комплектовщик,80000,80000,77500,100000,78750.0
тракторист,65500,80000,70000,100000,75000.0
разнорабочий,70000,80000,70000,60000,75000.0
сантехник,58000,70000,77000,85000,73500.0
медсестра,55000,70000,70000,61000,70000.0
продавец,55000,65000,70000,48000,67500.0
охранник,37000,46000,86150,125000,66075.0
психолог,40000,50000,75000,62500,62500.0
уборщица,40900,50000,74500,70000,62250.0
дворник,40900,50000,70000,70000,60000.0
учитель,38000,50000,60000,50000,55000.0
санитарка,37000,50000,50000,57500,50000.0
