,noExperience,between1And3,between3And6,moreThan6,mean
машинист,80000,145000,180000,150000,162500.0
программист,60000,100000,200000,250000,150000.0
токарь,61440,167000,130000,130000,148500.0
сварщик,75000,115000,150000,120000,132500.0
инженер,75000,110000,150000,150000,130000.0
директор,60000,100000,150000,200000,125000.0
чпу,70000,100000,130000,150000,115000.0
врач,70000,100000,120000,120000,110000.0
менеджер,70000,90000,120000,100000,105000.0
нефть,71000,100000,106358,90000,103179.0
водитель,95000,90000,100000,90000,95000.0
повар,62000,85000,100000,100000,92500.0
слесарь,70000,90000,90000,90000,90000.0
электрик,65000,80000,90000,90000,85000.0
бухгалтер,50000,70000,95000,120000,82500.0
юрист,48500,70000,90000,100000,80000.0
финансист,50000,75000,80000,100000,77500.0
матрос,47778,50925,100000,,75462.5
комплектовщик,75000,75000,70000,72000,72500.0
курьер,99000,65000,80000,55000,72500.0
разнорабочий,82750,75000,65000,90000,70000.0
тракторист,80000,68100,70000,60000,69050.0
сантехник,50000,68000,70000,72500,69000.0
медсестра,57500,70000,65000,70000,67500.0
охранник,44940,50000,80000,105000,65000.0
продавец,55000,69000,60000,50000,64500.0
учитель,38000,50000,70000,60000,60000.0
дворник,40000,50000,60000,70000,55000.0
уборщица,40000,50000,60000,70000,55000.0
психолог,35000,45000,58950,60000,51975.0
санитарка,35000,50000,47500,,48750.0
