,noExperience,between1And3,between3And6,moreThan6,mean
токарь,50000,153500,143500,100000,148500.0
машинист,60000,122000,170000,150000,146000.0
программист,50000,100000,180000,220000,140000.0
директор,50000,85000,150000,180000,117500.0
инженер,67500,100000,125000,130000,112500.0
сварщик,60000,100000,120000,120000,110000.0
чпу,60000,100000,110000,120000,105000.0
менеджер,50000,80000,100000,100000,90000.0
врач,60000,80000,100000,100000,90000.0
нефть,47073,72900,95335,124065,84117.5
повар,50000,72000,90000,110000,81000.0
водитель,80000,80000,80000,80000,80000.0
слесарь,65000,80000,80000,78750,80000.0
бухгалтер,45000,60000,80000,100000,70000.0
финансист,60000,60000,80000,100000,70000.0
юрист,40000,60000,80000,92121,70000.0
электрик,60000,68000,70000,67500,69000.0
курьер,80000,70000,64750,60000,67375.0
матрос,47000,50000,80000,,65000.0
разнорабочий,75000,55000,70000,65000,62500.0
комплектовщик,65000,60000,60000,55000,60000.0
сантехник,50000,60000,60000,66500,60000.0
тракторист,60000,60000,59926,60000,59963.0
медсестра,45000,50000,60000,63000,55000.0
охранник,43424,45000,60000,120000,52500.0
продавец,45000,55000,50000,40000,52500.0
дворник,30000,40000,55000,65000,47500.0
учитель,30000,40000,55000,70000,47500.0
уборщица,30000,40000,55000,65000,47500.0
психолог,30000,37000,50000,60000,43500.0
санитарка,30000,40000,37500,,38750.0
