,noExperience,between1And3,between3And6,moreThan6,mean
машинист,70000,121600,180000,200000,150800.0
программист,60000,119400,180000,240000,149700.0
нефть,49000,97000,167000,475000,132000.0
директор,60000,100000,160000,200000,130000.0
сварщик,70000,100000,150000,125000,125000.0
инженер,71000,100000,145000,150000,122500.0
врач,70000,97700,140000,150000,118850.0
финансист,123750,100000,135750,150000,117875.0
чпу,71750,100000,124497,120000,112248.5
менеджер,60000,90000,120000,120000,105000.0
токарь,60500,90000,120000,100000,105000.0
курьер,93000,100000,90000,62500,95000.0
водитель,90000,90000,100000,100000,95000.0
повар,60000,83000,100000,120000,91500.0
слесарь,70000,90000,90000,90000,90000.0
матрос,60000,80000,100000,104300,90000.0
электрик,65000,90000,90000,86500,90000.0
юрист,50000,75000,100000,110000,87500.0
бухгалтер,50000,70000,96000,120000,83000.0
комплектовщик,75000,80000,85000,36250,82500.0
разнорабочий,70000,80000,85000,60000,82500.0
тракторист,70000,80000,80000,50000,80000.0
сантехник,57000,70000,79585,70000,74792.5
медсестра,60000,70000,75000,82500,72500.0
продавец,50000,60000,70000,60000,65000.0
учитель,40000,50000,75000,85000,62500.0
дворник,45000,50000,74900,110000,62450.0
уборщица,45000,50000,74900,110000,62450.0
охранник,37500,45000,77600,165000,61300.0
санитарка,39150,51750,65000,100000,58375.0
психолог,40000,50000,60000,60000,55000.0
