,noExperience,between1And3,between3And6,moreThan6,mean
программист,50000,100000,200000,240000,150000.0
токарь,60000,150000,150000,92000,150000.0
машинист,65000,130000,165000,150000,147500.0
директор,55000,100000,150000,200000,125000.0
инженер,65000,100000,130000,130000,115000.0
сварщик,70000,100000,121000,130000,110500.0
чпу,60000,100000,120000,120000,110000.0
врач,65000,90000,100000,100000,95000.0
менеджер,60000,80000,100000,100000,90000.0
слесарь,70000,90000,85000,70000,87500.0
повар,55000,75000,99500,112000,87250.0
нефть,54140,80000,87600,115738,83800.0
водитель,80640,80000,80000,85000,80000.0
электрик,60000,70000,75000,70000,72500.0
финансист,45000,70000,75000,85000,72500.0
бухгалтер,45000,60000,80000,100000,70000.0
юрист,40000,60000,80000,90000,70000.0
курьер,80000,70000,65000,60000,67500.0
тракторист,55100,61050,70000,70000,65525.0
матрос,35000,56186,70000,,63093.0
комплектовщик,65000,65000,60000,70000,62500.0
разнорабочий,79500,65000,58735,75000,61867.5
сантехник,50000,60000,60000,58500,60000.0
медсестра,45000,51990,60500,55000,56245.0
охранник,45000,50000,60000,90000,55000.0
учитель,34000,45000,60000,60000,52500.0
продавец,50000,55000,50000,50000,52500.0
психолог,30771,40000,55000,60000,47500.0
дворник,30000,40000,50000,64250,45000.0
уборщица,30000,40000,50000,64250,45000.0
санитарка,30000,40000,37500,25000,38750.0
