,noExperience,between1And3,between3And6,moreThan6,mean
машинист,76800,150000,186750,180000,168375.0
токарь,61970,143000,165000,120000,154000.0
программист,60000,100000,200000,250000,150000.0
директор,60000,100000,160000,200000,130000.0
инженер,75000,100000,150000,150000,125000.0
сварщик,70000,110000,138000,100000,124000.0
чпу,70000,100000,140000,220000,120000.0
врач,65000,92000,110000,120000,101000.0
менеджер,60000,85000,115000,110000,100000.0
нефть,60000,84320,106679,182500,95499.5
повар,60000,80000,100000,120000,90000.0
слесарь,70000,90000,90000,80000,90000.0
водитель,90000,80000,90000,90000,85000.0
электрик,60000,80000,85000,81650,82500.0
юрист,45000,70000,90000,100000,80000.0
финансист,60000,70000,87500,100000,78750.0
бухгалтер,50000,65000,90000,100000,77500.0
курьер,83400,75000,80000,60000,77500.0
комплектовщик,74168,75000,70000,70000,72500.0
сантехник,55000,70000,70000,85000,70000.0
охранник,45000,50000,89000,125000,69500.0
тракторист,61000,65000,70000,66500,67500.0
разнорабочий,80000,70000,60000,33000,65000.0
медсестра,52000,65000,65000,70000,65000.0
матрос,61200,75000,47700,230000,61350.0
продавец,50000,62000,60000,54000,61000.0
психолог,35000,50000,69000,90000,59500.0
дворник,35000,50000,60000,69000,55000.0
уборщица,35000,50000,60000,69000,55000.0
учитель,35000,45000,60000,70000,52500.0
санитарка,35000,45000,50000,46500,47500.0
