,noExperience,between1And3,between3And6,moreThan6,mean
сварщик,80000,120000,264000,180000,192000.0
машинист,80000,150000,180000,147330,165000.0
токарь,62320,171000,138500,100000,154750.0
программист,60000,100000,180000,250000,140000.0
инженер,70000,100000,150000,140000,125000.0
директор,60000,100000,150000,200000,125000.0
чпу,70000,100000,125000,120000,112500.0
нефть,63700,110000,98761,110000,104380.5
врач,60000,90000,107000,110000,98500.0
менеджер,60000,80000,110000,120000,95000.0
повар,60000,85000,100000,130000,92500.0
слесарь,80000,90000,91000,80000,90500.0
курьер,85000,95600,75000,82700,85300.0
матрос,47903,50000,115000,,82500.0
водитель,100000,85000,80000,90000,82500.0
электрик,60800,80000,80000,80000,80000.0
разнорабочий,80000,80000,70000,65181,75000.0
бухгалтер,50000,65000,80000,103448,72500.0
юрист,45000,65000,80000,100000,72500.0
финансист,50000,65000,80000,92500,72500.0
комплектовщик,75000,70000,70000,70000,70000.0
сантехник,52522,70000,65000,75000,67500.0
тракторист,60000,65000,70000,87500,67500.0
охранник,50000,50000,75000,130000,62500.0
медсестра,50000,60000,61000,60000,60500.0
дворник,35000,45000,73512,65000,59256.0
уборщица,35000,45000,73512,65000,59256.0
продавец,52000,60000,57800,46000,58900.0
психолог,30787,42000,60000,78400,51000.0
санитарка,33000,45000,50000,,47500.0
учитель,35000,45000,50000,55000,47500.0
