,noExperience,between1And3,between3And6,moreThan6,mean
программист,50000,100000,180000,200000,140000.0
токарь,54000,140000,140000,100000,140000.0
машинист,60000,120000,150000,150000,135000.0
директор,50000,90000,150000,170000,120000.0
нефть,48000,90000,140000,91565,115000.0
инженер,60000,100000,120000,120000,110000.0
сварщик,60000,90000,120000,100000,105000.0
чпу,55000,90000,100000,110000,95000.0
врач,50000,75150,100000,100000,87575.0
менеджер,50000,70000,100000,100000,85000.0
слесарь,60000,80000,80000,60000,80000.0
повар,50000,70000,88000,100000,79000.0
водитель,80000,75000,74606,80000,74803.0
юрист,40000,60000,75000,80250,67500.0
электрик,60000,65000,70000,60000,67500.0
финансист,40000,53500,80000,90000,66750.0
курьер,70000,60000,68008,51000,64004.0
бухгалтер,40400,53000,70000,90000,61500.0
комплектовщик,65000,60000,60000,65000,60000.0
сантехник,50000,60000,55000,58750,57500.0
тракторист,50000,60000,55000,60000,57500.0
разнорабочий,75000,55000,55500,45000,55250.0
матрос,40500,50000,58500,,54250.0
медсестра,40000,50000,57000,60000,53500.0
охранник,42000,45000,60000,90000,52500.0
продавец,45000,50000,50000,50000,50000.0
дворник,30000,38000,57500,110000,47750.0
уборщица,30000,38000,57500,110000,47750.0
психолог,30000,35000,50000,45000,42500.0
учитель,30000,35000,50000,55000,42500.0
санитарка,30000,35500,30000,85000,32750.0
