,noExperience,between1And3,between3And6,moreThan6,mean
машинист,73000,150000,180000,150000,165000.0
программист,50000,100000,200000,250000,150000.0
токарь,61000,172000,120000,120000,146000.0
сварщик,90000,120000,145000,140000,132500.0
директор,55000,100000,150000,200000,125000.0
инженер,70000,100000,145000,140000,122500.0
чпу,70000,100000,120000,120000,110000.0
слесарь,75000,100000,100000,75000,100000.0
менеджер,60000,80000,110000,110000,95000.0
матрос,41400,50000,140000,,95000.0
врач,60000,85000,100000,100000,92500.0
нефть,57000,85000,98761,110000,91880.5
повар,60000,80000,100000,120000,90000.0
водитель,100000,85000,85000,90000,85000.0
электрик,60330,80000,80000,92500,80000.0
юрист,45000,63218,83000,100000,73109.0
финансист,40000,65000,77500,100000,71250.0
разнорабочий,90000,75000,67000,70000,71000.0
бухгалтер,50000,60000,80040,100000,70020.0
курьер,85000,70000,70000,67500,70000.0
комплектовщик,70000,70000,65000,70000,67500.0
сантехник,55000,65000,69000,70000,67000.0
тракторист,60000,70000,62000,90000,66000.0
охранник,50000,54000,70000,120000,62000.0
медсестра,50000,58500,60000,65000,59250.0
продавец,50000,60000,55000,50000,57500.0
уборщица,35000,44500,65000,50000,54750.0
дворник,35000,43500,65000,50000,54250.0
учитель,35000,45000,50000,60000,47500.0
психолог,30788,40000,50000,50000,45000.0
санитарка,32600,42900,40000,49000,41450.0
